case_id,method,path,accept,expected_status
get_get,GET,/get,application/json,200
post_post,POST,/post,application/json,200
put_put,PUT,/put,application/json,200
delete_delete,DELETE,/delete,application/json,200
patch_patch,PATCH,/patch,application/json,200
get_status_200,GET,/status/200,text/plain,200
post_status_201,POST,/status/201,text/plain,201
put_status_204,PUT,/status/204,text/plain,204
delete_status_204,DELETE,/status/204,text/plain,204
patch_status_400,PATCH,/status/400,text/plain,400
get_status_401,GET,/status/401,text/plain,401
get_status_403,GET,/status/403,text/plain,403
get_status_404,GET,/status/404,text/plain,404
post_status_500,POST,/status/500,text/plain,500
post_status_401,POST,/status/401,text/plain,401
post_status_403,POST,/status/403,text/plain,403
post_status_404,POST,/status/404,text/plain,404
post_status_500,POST,/status/500,text/plain,500
put_status_500,PUT,/status/500,text/plain,500
put_status_401,PUT,/status/401,text/plain,401
put_status_403,PUT,/status/403,text/plain,403
put_status_404,PUT,/status/404,text/plain,404
put_status_500,PUT,/status/500,text/plain,500
